		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 244.125000	M = 125000	N = 8	m = 9	n = 1000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
110111000  248  265  224  248  251  233  245  253  4.750897 0.783839 SUCCESS 115
110111010  246  234  229  233  277  231  266  264 10.952323 0.204415 SUCCESS 116
110111100  267  245  227  230  230  235  237  231  6.450861 0.596863 SUCCESS 117
111000000  244  245  248  240  261  245  257  259  2.988442 0.935081 SUCCESS 118
111000010  242  225  252  254  216  247  218  227  9.764996 0.281909 SUCCESS 119
111000100  239  244  250  285  238  258  262  253  9.998013 0.265165 SUCCESS 120
111000110  251  265  211  262  240  234  216  211 16.555320 0.035087 SUCCESS 121
111001000  226  237  280  270  253  233  232  230 12.222265 0.141559 SUCCESS 122
111001010  244  259  241  214  232  249  252  245  5.813242 0.668142 SUCCESS 123
111001100  215  240  251  239  227  269  229  259  9.748050 0.283157 SUCCESS 124
111010000  253  258  230  223  259  232  237  235  6.013424 0.645728 SUCCESS 125
111010010  227  236  224  250  232  222  228  218 10.074273 0.259852 SUCCESS 126
111010100  256  222  236  230  263  237  246  241  5.577047 0.694490 SUCCESS 127
111010110  249  243  229  253  272  227  245  248  6.010247 0.646084 SUCCESS 128
111011000  262  229  224  251  260  243  248  245  5.378983 0.716408 SUCCESS 129
111011010  240  237  270  211  223  274  274  222 19.299624 0.013337 SUCCESS 130
111011100  241  256  228  253  253  248  228  244  3.573102 0.893443 SUCCESS 131
111100000  283  254  214  250  248  227  285  266 21.218836 0.006588 FAILURE 132
111100010  234  283  230  277  239  254  241  257 13.529278 0.094890 SUCCESS 133
111100100  250  236  257  255  265  241  237  222  5.805828 0.668972 SUCCESS 134
111100110  219  258  249  239  228  270  238  257  8.501409 0.386083 SUCCESS 135
111101000  256  230  219  222  249  239  234  244  6.837457 0.554267 SUCCESS 136
111101010  250  243  247  262  249  248  260  237  2.987382 0.935147 SUCCESS 137
111101100  261  250  252  236  267  262  244  247  5.500787 0.702953 SUCCESS 138
111101110  241  231  227  260  271  238  218  266 11.219234 0.189584 SUCCESS 139
111110000  266  246  244  273  255  222  261  239  9.467370 0.304414 SUCCESS 140
111110010  245  254  264  237  254  243  241  247  2.799910 0.946280 SUCCESS 141
111110100  253  212  236  215  247  233  239  245  9.253418 0.321371 SUCCESS 142
111110110  258  241  241  218  243  258  251  246  4.826098 0.775991 SUCCESS 143
111111000  234  268  230  269  255  253  225  257  9.402761 0.309466 SUCCESS 144
111111010  264  232  246  197  231  238  254  255 13.522923 0.095079 SUCCESS 145
111111100  218  272  264  257  276  256  238  260 14.688008 0.065504 SUCCESS 146
111111110  232  267  252  235  250  273  241  247  7.210284 0.514124 SUCCESS 147

		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 244.125000	M = 125000	N = 8	m = 9	n = 1000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001  229  250  253  253  229  237  249  245  3.071057 0.929819 SUCCESS   0
000000011  211  270  247  255  228  245  251  234  9.760760 0.282221 SUCCESS   1
000000101  236  237  253  265  229  223  234  242  5.988004 0.648576 SUCCESS   2
000000111  208  248  233  255  241  253  247  253  7.361745 0.498153 SUCCESS   3
000001001  248  231  247  264  223  218  251  234  7.918867 0.441435 SUCCESS   4
000001011  239  227  237  262  236  247  252  256  4.097390 0.848231 SUCCESS   5
000001101  234  259  220  254  241  236  236  228  5.953052 0.652491 SUCCESS   6
000001111  219  232  241  234  237  270  251  252  7.287603 0.505944 SUCCESS   7
000010001  255  259  248  241  238  241  260  215  6.405317 0.601928 SUCCESS   8
000010011  243  237  293  251  235  243  246  246 10.929022 0.205753 SUCCESS   9
000010101  239  237  240  255  263  217  254  224  7.655134 0.467861 SUCCESS  10
000010111  218  233  243  283  244  251  243  235 10.382491 0.239199 SUCCESS  11
000011001  237  223  255  219  240  258  250  239  6.426500 0.599571 SUCCESS  12
000011011  234  248  259  238  232  252  259  228  4.518939 0.807535 SUCCESS  13
000011101  256  213  257  275  227  242  230  234 11.983953 0.151921 SUCCESS  14
000011111  239  244  230  234  265  258  255  260  5.621532 0.689541 SUCCESS  15
000100011  250  248  283  254  221  265  255  247 11.673617 0.166371 SUCCESS  16
000100101  258  238  236  252  243  218  255  239  5.026280 0.754764 SUCCESS  17
000100111  220  232  281  246  229  243  217  275 16.994875 0.030162 SUCCESS  18
000101001  242  235  232  265  220  203  232  243 13.100315 0.108444 SUCCESS  19
000101011  241  225  251  244  265  215  226  226 10.014960 0.263977 SUCCESS  20
000101101  255  257  219  239  255  247  252  239  4.899180 0.768296 SUCCESS  21
000101111  237  235  237  234  238  251  243  226  2.973613 0.936003 SUCCESS  22
000110011  242  211  272  231  245  246  246  236  9.002396 0.342094 SUCCESS  23
000110101  236  258  235  271  244  229  217  237  8.809627 0.358609 SUCCESS  24
000110111  246  255  263  213  233  261  254  252  8.536362 0.382902 SUCCESS  25
000111001  245  256  261  237  254  258  225  258  5.616237 0.690131 SUCCESS  26
000111011  268  228  285  278  229  262  239  227 19.133334 0.014163 SUCCESS  27
000111101  229  256  216  249  236  260  253  256  7.297136 0.504940 SUCCESS  28
000111111  228  212  223  224  244  256  255  231 10.908897 0.206915 SUCCESS  29
